member_casual,total_rides,total_rides_length,average_ride_length,median_length,ride_percentage
casual,1747757,39711251.3833309,22.7212658186058,13.0833333333333,38.8879395471017
member,2746585,33492766.2833377,12.1943308811979,8.75,61.1120604528983
